Country	CountryCode	Region	OECD	GDPperCapita2012	GDP2012	GDPperCapitaPPP2011	GDPperCapitaPPPCurrent
Afghanistan	AFG	Asia:South		687.245475	20496777409	1892.260891	1925.343009
Albania	ALB	Europe:East		3999.92531	12648095824	9243.366781	9403.43246
Algeria	DZA	Africa:North		5347.704734	2.06E+11	12778.54773	13001.95319
American Samoa	ASM	Polynesia					
Andorra	ADO	Europe:South					
Angola	AGO	Africa:Center		5482.428049	1.14E+11	7345.681975	7474.105448
Antigua and Barbuda	ATG	Caribbean		12733.49043	1134159259	19714.16314	20058.82294
Argentina	ARG	America:South		11573.06497	4.76E+11		
Armenia	ARM	Europe:East		3351.381364	9950522733	7290.639071	7417.53736
Aruba	ABW	Caribbean					
Australia	AUS	Oceania	Y	67441.59339	1.53E+12	42278.29673	43818.30118
Austria	AUT	Europe:West	Y	46791.781	3.94E+11	43138.86602	44122.0257
Azerbaijan	AZE	Europe:East		7165.031956	66604589419	15888.21797	16165.98933
Bahamas, The	BHS	Caribbean		21908.28046	8149004000	22705.21922	23102.17122
Bahrain	BHR	MiddleEast		23039.68422	30362317939	40657.99967	41368.57542
Bangladesh	BGD	Asia:South		752.1560525	1.16E+11	2363.83324	2405.159788
Barbados	BRB	Caribbean		14917.14951	4224850000	15298.71552	15566.1807
Belarus	BLR	Europe:East		6685.018749	63267017440	16868.46657	17163.37548
Belgium	BEL	Europe:West	Y	43398.69051	4.83E+11	39497.54001	40565.59173
Belize	BLZ	America:Center				8438.059923	8585.581278
Benin	BEN	Africa:West		751.9163168	7557286829	1686.546635	1716.032281
Bermuda	BMU	Caribbean		84460.32775	5473536000	52112.20642	53023.27643
Bhutan	BTN	Asia:South		2398.905819	1779561112	7490.48421	7621.439239
Bolivia	BOL	America:South		2575.683695	27035110130	5650.43075	5749.216396
Bosnia and Herzegovina	BIH	Europe:East		4555.64457	17465958606	9183.519291	9392.474391
Botswana	BWA	Africa:South		7238.019365	14504339386	14443.38963	14695.90128
Brazil	BRA	America:South		11339.52111	2.25E+12	14300.58114	14550.59608
Brunei Darussalam	BRN	Asia:SE		41126.61284	16953952625	71080.2257	72322.91079
Bulgaria	BGR	Europe:East		6976.853444	50972109857	15738.34014	16040.81833
Burkina Faso	BFA	Africa:West		651.6532781	10726304841	1527.855909	1554.567188
Burundi	BDI	Africa:East		251.014523	2472384864	736.8432417	749.7253632
Cambodia	KHM	Asia:SE		944.4142464	14038383450	2789.078143	2837.839185
Cameroon	CMR	Africa:Center		1166.91341	25321590402	2550.925301	2595.522752
Canada	CAN	America:North	Y	51206.15559	1.78E+12	40588.04493	41297.63972
Cabo Verde	CPV	Africa:West		3695.424487	1827021562	6311.335425	6421.67557
Cayman Islands	CYM	Caribbean					
Central African Republic	CAF	Africa:Center		482.6697266	2184181391	963.9618815	980.8146847
Chad	TCD	Africa:Center		1035.257946	12887072082	2003.396014	2038.421091
Channel Islands	CHI	Europe:North					
Chile	CHL	America:South	Y	15452.1736	2.70E+11	21099.21379	21468.08804
China	CHN	Asia:East		6091.014352	8.23E+12	10771.18924	10959.50035
Hong Kong SAR, China	HKG	Asia:East		36795.81988	2.63E+11	50291.16258	51170.39555
