##Data from database: WDI												
##Last Updated: 05/06/2014												
SeriesName	SeriesCode	Country	CountryCode	2004	2005	2006	2007	2008	2009	2010	2011	2012
GDP per capita (current US$)	NY.GDP.PCAP.CD	Afghanistan	AFG	220.0562878	252.4078925	275.3509409	373.5914162	376.9776699	450.659239	561.1976175	613.9791916	687.245475
GDP per capita (current US$)	NY.GDP.PCAP.CD	Albania	ALB	2320.89233	2620.820724	2872.260625	3380.894192	4108.414124	3845.72172	3764.326348	4109.082012	3999.92531
GDP per capita (current US$)	NY.GDP.PCAP.CD	Algeria	DZA	2549.957193	3038.748713	3391.367826	3845.847296	4786.51807	3771.284844	4349.569325	5271.590312	5347.704734
GDP per capita (current US$)	NY.GDP.PCAP.CD	American Samoa	ASM									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Andorra	ADO	29372.16674	31268.96674	34484.70086	39922.89012	46418.41547				
GDP per capita (current US$)	NY.GDP.PCAP.CD	Angola	AGO	1229.342988	1706.543616	2440.631716	3412.718998	4596.268431	3988.683557	4218.649126	5159.233666	5482.428049
GDP per capita (current US$)	NY.GDP.PCAP.CD	Antigua and Barbuda	ATG	11076.06362	12135.54103	13675.08524	15353.91419	15871.50014	14589.59527	13315.24327	12420.16276	12733.49043
GDP per capita (current US$)	NY.GDP.PCAP.CD	Argentina	ARG	3997.243288	4740.067029	5490.435174	6630.045926	8231.226065	7674.342976	9132.957259	10951.58273	11573.06497
GDP per capita (current US$)	NY.GDP.PCAP.CD	Armenia	ARM	1182.09736	1625.396904	2126.089566	3079.144086	3916.730427	2913.60061	3124.788199	3421.726556	3351.381364
GDP per capita (current US$)	NY.GDP.PCAP.CD	Aruba	ABW	22566.68216	23302.83199	24015.42061	25921.28214	27549.34573	24639.93533	24289.14152	25354.78247	
GDP per capita (current US$)	NY.GDP.PCAP.CD	Australia	AUS	30464.00376	34011.73864	36113.0024	40996.31791	49672.74801	42721.88494	51824.79842	62080.98242	67441.59339
GDP per capita (current US$)	NY.GDP.PCAP.CD	Austria	AUT	35662.21182	37067.32383	39299.6143	45181.46759	49679.1107	45872.22098	45016.70385	49485.48219	46791.781
GDP per capita (current US$)	NY.GDP.PCAP.CD	Azerbaijan	AZE	1045.026415	1578.36733	2472.997476	3851.325664	5574.603802	4950.294791	5843.169753	7189.815151	7165.031956
GDP per capita (current US$)	NY.GDP.PCAP.CD	Bahamas, The	BHS	22005.0031	23416.90369	23733.80768	24321.06511	23674.14021	22060.92098	21881.08394	21490.35708	21908.28046
GDP per capita (current US$)	NY.GDP.PCAP.CD	Bahrain	BHR	16027.34476	18156.37747	19459.73121	21049.57341	23037.87857	19251.12373	20545.96945	22466.88388	23039.68422
GDP per capita (current US$)	NY.GDP.PCAP.CD	Bangladesh	BGD	400.4724749	421.1233114	427.291167	467.1363614	537.6384971	597.7118029	664.0642317	731.8941678	752.1560525
