##				Prevalence of smoking		Incidence of tuberculosis	Prevalence of diabetes	Prevalence of HIV					Antiretroviral therapy coverage	Cause of death		
Country	CountryCode	Region	OECD	MaleSmokingPrevPercAdult	FemaleSmokingPrevPercAdult	TuberculosisPer100K	DiabetesPrevPercPop	TotalHIVPrevPercPop1549		WomenHIVPrevPerc15Over	MaleYouthHIVPercPop	FemaleYouthHIVPercPop	AVTherapyCovPerc	CoDCommunicableDiseases	CoDNonCommunicableDiseases	CoDInjuries
##				% of adults	% of adults	"per 100,000 people"	% of population ages 20 to 79	% of population ages 15-49		% Women's share of population ages 15+ living with HIV	% of population ages 15-24	% of population ages 15-24	% of people with advanced HIV infection	% of population	% of population	% of population
##				2011	2011	2012	2013	1990	2012	2012	2012	2012	2012	2012	2012	2012
Afghanistan	AFG	Asia:South				189	8.3	0.1	0.1	35	0.1	0.1	8	46	37	17
Albania	ALB	Europe:East		48	5	16	2.5							5	90	6
Algeria	DZA	Africa:North		28	2	89	7.5			65				15	77	8
American Samoa	ASM	Polynesia				7										
Andorra	ADO	Europe:South				13	5.5									
Angola	AGO	Africa:Center				316	2.9	0.6	2.3	59	0.6	1.2	42	66	24	10
Antigua and Barbuda	ATG	Caribbean				4	13.3									
Argentina	ARG	America:South		30	16	25	5.7	0.1	0.4	33	0.2	0.1	81	11	81	7
Armenia	ARM	Europe:East		47	2	52	2.5	0.1	0.2	18	0.1	0.1	35	4	92	4
Aruba	ABW	Caribbean				16	13.6									
Australia	AUS	Oceania	Y	21	19	7	7.8			22				4	91	6
Austria	AUT	Europe:West	Y	46	47	8	6.6			22				3	92	5
Azerbaijan	AZE	Europe:East		34	1	95	2.5	0.1	0.2	11	0.2	0.1	24	11	84	5
"Bahamas, The"	BHS	Caribbean				10	14.2	1.9	3.3	51	1.3	1.8		20	72	8
Bahrain	BHR	MiddleEast		35	8	20	21.8							11	78	12
Bangladesh	BGD	Asia:South		48	2	225	6.3	0.1	0.1	35	0.1	0.1	27	32	59	9
Barbados	BRB	Caribbean		13	2	2	12.4	0.2	0.9	26	0.4	0.2		11	84	5
Belarus	BLR	Europe:East		50	11	70	5.1	0.1	0.4	31	0.3	0.2	45	2	89	9
Belgium	BEL	Europe:West	Y	31	23	10	4.8			32				7	87	6
Belize	BLZ	America:Center		22	2	40	15.9	0.2	1.4	47	0.5	0.6	71	19	65	16
Benin	BEN	Africa:West		21	3	70	1.6	0.3	1.1	59	0.2	0.4	67	55	36	9
Bermuda	BMU	Caribbean				5	12.8									
Bhutan	BTN	Asia:South				180	5.8	0.1	0.2	26	0.1	0.1	12	24	56	19
Bolivia	BOL	America:South		42	18	127	7.3	0.1	0.3	31	0.1	0.1	35	28	59	13
Bosnia and Herzegovina	BIH	Europe:East		44	27	49	9.7							3	91	6
Botswana	BWA	Africa:South		36	7	408	4.1	4.3	23	56	3.7	6.7	95	54	37	9
Brazil	BRA	America:South		22	13	46	9.2			31				14	74	12
Brunei Darussalam	BRN	Asia:SE		32	4	68	8.6							10	80	11
Bulgaria	BGR	Europe:East		48	31	32	5.3			21				3	94	3
Burkina Faso	BFA	Africa:West				54	3.8	3.3	1	59	0.4	0.5	70	58	32	10
Burundi	BDI	Africa:East				130	4.5	1.7	1.3	60	0.4	0.6	58	60	28	11
Cambodia	KHM	Asia:SE		42	3	411	3	0.1	0.8	55	0.2	0.2	84	37	52	11
Cameroon	CMR	Africa:Center				238	5.9	0.5	4.5	58	1	1.8	45	61	31	9
Canada	CAN	America:North	Y	20	15	5	7.9			20				5	88	6
Cabo Verde	CPV	Africa:West		14	3	144	6.2	0.4	0.2	53	0.1	0.1	95	23	69	9
