##				Health expenditure						Health workers			Hospital beds	Completeness of birth registration
Country	CountryCode	Region	OECD	TotalHealthExpensePercGDP	PublicHealthExpensePercTotal	OutOfPocketPercTotal	HealthExpenseExternalResources	HealthExpensePerCapitaDollar	HealthExpensePerCapitaPPPDollar	PhysiciansPer1000	NursesMidwivesPer1000	CommunityHealthWorkersPer1000	HealthBedsPer1000	BirthRegistrationPerc
##				% of GDP	% of total	% of total	% of total	$	PPP $	per 1000 people	per 1000 people	per 1000 people	per 1000 people	%
##				2012	2012	2012	2012	2012	2012	2007-2012	2007-2012	2007-2012	2007-2012	2007-2012
Afghanistan	AFG	Asia:South		8.6	20.8	74.4	21.7	51	47	0.2	0.1		0.5	37
Albania	ALB	Europe:East		6	47.6	52.2	3.7	228	541	1.1	4		2.6	99
Algeria	DZA	Africa:North		5.2	84.1	15	0	279	439	1.2	1.9			
American Samoa	ASM	Polynesia												
Andorra	ADO	Europe:South		8.3	76.6	17.5	0	3057	3499	3.9	4.6		2.5	100
Angola	AGO	Africa:Center		3.5	62.2	26.7	1.7	190	212	0.2	1.7			
Antigua and Barbuda	ATG	Caribbean		5.2	75.4	22.2	3.6	681	1029				2.1	
Argentina	ARG	America:South		8.5	69.2	20.1	0.7	995	1551	3.2			4.7	99
Armenia	ARM	Europe:East		4.5	41.8	54.6	6.4	150	299	2.7	4.9		3.9	100
Aruba	ABW	Caribbean												
Australia	AUS	Oceania	Y	9.1	66.9	18.5		6140	4068	3.3	10.6		3.9	100
Austria	AUT	Europe:West	Y	11.5	75.5	15.2		5407	5065	4.8	7.9		7.6	100
Azerbaijan	AZE	Europe:East		5.4	22.8	69	1	398	572	3.4	6.7		4.7	
Bahamas The	BHS	Caribbean		7.5	46.1	29.1		1647	2377	2.8	4.1		2.9	
Bahrain	BHR	MiddleEast		3.9	71.9	16.5	0	895	971	0.9	2.4		2.1	
Bangladesh	BGD	Asia:South		3.6	34.4	63.3	7.2	26	68	0.4	0.2	0.3	0.6	31
Barbados	BRB	Caribbean		6.3	65.6	34.4	2.3	938	1307	1.8	4.9		6.2	
Belarus	BLR	Europe:East		5	77.2	19.5	0.4	339	790	3.8	10.5		11.3	100
Belgium	BEL	Europe:West	Y	10.8	75.9	19.7		4711	4320	3	15.8		6.5	100
Belize	BLZ	America:Center		5.8	64.9	24.5	1.2	259	458	0.8	2	0.5	1.1	95
Benin	BEN	Africa:West		4.5	51.5	44.3	32	33	70	0.1	0.8		0.5	80
Bermuda	BMU	Caribbean												
Bhutan	BTN	Asia:South		3.8	83.9	15.2	11.6	90	253	0.3	1	0.1	1.8	100
Bolivia	BOL	America:South		5.8	71.8	23.2	3.8	149	305	0.5	1		1.1	76
Bosnia and Herzegovina	BIH	Europe:East		9.9	71.1	27.8	1.6	447	928	1.7	5.2		3.5	
Botswana	BWA	Africa:South		5.3	56.4	5.5	15.6	384	872	0.3	2.8		1.8	72
Brazil	BRA	America:South		9.3	46.4	31	0.1	1056	1109	1.8	6.4		2.3	93
Brunei Darussalam	BRN	Asia:SE		2.3	91.8	8.1		939	1218	1.5	7.7		2.8	
Bulgaria	BGR	Europe:East		7.4	56.3	42.3		516	1177	3.8	4.7		6.4	100
Burkina Faso	BFA	Africa:West		6.2	54.3	36.4	31.4	38	90	0	0.6	0.1	0.4	77
Burundi	BDI	Africa:East		8.1	59.5	28.3	46.3	20	45				1.9	75
Cabo Verde	KHM	Asia:SE		3.9	77.4	21.2	28.3	144	166	0.3	0.5		2.1	91
Cambodia	CMR	Africa:Center		5.4	24.7	61.7	15.3	51	135	0.2	0.9		0.7	62
Cameroon	CAN	America:North	Y	5.1	33.5	62.6	9.3	59	120	0.1	0.4		1.3	61
Canada	CPV	Africa:West		10.9	70.1	15		5741	4676	2.1	9.3		2.7	100
Cayman Islands	CYM	Caribbean												
Central African Republic	CAF	Africa:Center		3.8	49.7	45.6	28.6	18	32	0	0.3	0.4	1	61
Chad	TCD	Africa:Center		2.8	31.3	66.4	14.7	25	42					16
Channel Islands	CHI	Europe:North												
Chile	CHL	America:South	Y	7.2	48.6	32.1	0	1103	1606	1	0.1		2.1	100
China	CHN	Asia:East		5.4	56	34.3	0.1	322	480	1.9	1.9	0.8	3.8	
Hong Kong SAR China	HKG	Asia:East												
Macao SAR China	MAC	Asia:East												
Colombia	COL	America:South		6.8	75.8	14.8	0.6	530	723	1.5	0.6		1.5	97
Comoros	COM	Africa:East		4.5	55.9	44.1	26.9	38	56					
Congo Dem. Rep.	ZAR	Africa:Center		5.6	51.4	32.5	50.4	15	24					28
Congo Rep.	COG	Africa:Center		3.2	73.9	25.1	7.7	100	140	0.1	0.8			91
Costa Rica	CRI	America:Center		10.1	74.6	23.1	0.1	951	1311				1.2	
Cote d'Ivoire	CIV	Africa:West		7.1	27.5	55.8	8.7	88	144	0.1	0.5			65
Croatia	HRV	Europe:East		6.8	82.3	13.9	0	908	1410	3	5.3		5.9	
Cuba	CUB	Caribbean		8.6	94.2	5.8	0.2	558	405	6.7	9.1		5.3	100
Curacao	CUW	Caribbean												
Cyprus	CYP	MiddleEast		7.3	43.1	49.5		1949	2266	2.3	4.5		3.5	100
Czech Republic	CZE	Europe:East	Y	7.7	84.8	14.2		1432	2046	3.6	8.4		6.8	100
Denmark	DNK	Europe:North	Y	11.2	85.5	12.6	0	6304	4720	3.4	16.1		3.5	100
Djibouti	DJI	Africa:East		8.8	59.7	40	12.7	129	231	0.2	0.8		1.4	
Dominica	DMA	Caribbean		5.9	72	23.7	4	392	740				3.8	
Dominican Republic	DOM	Caribbean		5.4	50.9	38.7	4.7	310	553	1.5	1.3		1.7	82
Ecuador	ECU	America:South		6.4	44.8	51.4	0.4	361	652	1.7	2		1.6	90
Egypt Arab Rep.	EGY	Africa:North		5	39	59.6	0.4	152	323	2.8	3.5		0.5	
El Salvador	SLV	America:Center		6.7	62.8	32.4	1.4	254	475	1.6	0.4		1.1	99
Equatorial Guinea	GNQ	Africa:Center		4.7	54.3	43.5	1.1	1138	1432				2.1	
Eritrea	ERI	Africa:East		2.6	47.5	52.5	24.7	15	17				0.7	
Estonia	EST	Europe:North	Y	5.9	79.9	18.4	0.9	1010	1385	3.3	6.5		5.3	100
Ethiopia	ETH	Africa:East		3.8	48.4	41.2	50.3	18	44	0	0.2	0.4	6.3	
Faeroe Islands	FRO	Europe:North												
Fiji	FJI	Melanesia		4	64.9	22.5	7.3	177	197	0.4	2.2		2	
Finland	FIN	Europe:North	Y	9.1	75.4	18.6	0	4232	3545	2.9	10.8		5.5	100
France	FRA	Europe:West	Y	11.7	76.9	7.4		4690	4260	3.2	9.3		6.4	100
French Polynesia	PYF	Polynesia												
Gabon	GAB	Africa:Center		3.5	51.2	41.4	1.3	397	558				6.3	90
Gambia The	GMB	Africa:West		5	66	16.3	49.2	26	98	0	0.6	0.7	1.1	53
Georgia	GEO	Europe:East		9.2	18	64.7	3	333	561	4.2	0.2		2.6	99
Germany	DEU	Europe:West	Y	11.3	76.3	12.1		4683	4617	3.8	11.5		8.2	100
Ghana	GHA	Africa:West		5.2	57.1	28.7	10.9	83	106	0.1	0.9	0.2	0.9	63
Greece	GRC	Europe:South	Y	9.3	67.5	29.7		2044	2346	6.2	0.2		4.8	100
Greenland	GRL	Europe:North												
Grenada	GRD	Caribbean		6.4	46.6	52.2	0.7	478	691				3.5	
Guam	GUM	Micronesia												
Guatemala	GTM	America:Center		6.7	35.6	53.3	2.6	226	346	0.9	0.9		0.6	97
Guinea	GIN	Africa:West		6.3	28.1	66.6	10.3	32	67	0.1	0		0.3	
Guinea-Bissau	GNB	Africa:West		5.9	22.7	43.2	34.5	30	66	0	0.6		1	24
Guyana	GUY	America:South		6.6	66.1	31.3	10.9	235	223	0.2	0.5	0.3	2	88
Haiti	HTI	Caribbean		6.4	22.8	3.5	66.9	53	84				1.3	80
Honduras	HND	America:Center		8.6	50.3	45.6	3.6	195	354				0.7	94
Hungary	HUN	Europe:East	Y	7.8	63.6	27.1		987	1729	3	6.4		7.2	100
Iceland	ISL	Europe:North	Y	9.1	80.7	17.9		3872	3436	3.5	15.6		3.2	100
India	IND	Asia:South		4	33.1	57.6	1.2	61	157	0.7	1.7		0.7	
Indonesia	IDN	Asia:SE		3	39.6	45.3	1.1	108	150	0.2	1.4		0.9	67
Iran Islamic Rep.	IRN	MiddleEast		6.7	40.4	52.5	0	490	1562	0.9	1.4		0.1	99
Iraq	IRQ	MiddleEast		3.6	53.6	46.4	0.3	226	149	0.6	1.4		1.3	99
Ireland	IRL	Europe:West	Y	8.1	64.4	15		3708	3529	2.7	15.7		2.9	100
Isle of Man	IMY	Europe:North												
Israel	ISR	MiddleEast	Y	7.5	61.7	25	1.5	2289	2239	3.3	4.9		3.3	100
Italy	ITA	Europe:South	Y	9.2	78.2	20.2		3032	3040	4.1	0.3		3.4	100
Jamaica	JAM	Caribbean		5.9	54.9	28.9	1.7	318	461	0.4	1.1	0.3	1.7	98
Japan	JPN	Asia:East	Y	10.1	82.5	14.1	0	4752	3578	2.3	11.5		13.7	100
Jordan	JOR	MiddleEast		9.8	63.1	28.5	4.2	388	483	2.6	4		1.8	99
Kazakhstan	KAZ	Asia:Center		4.2	57.8	41.7	0.4	521	608	3.6	8.2		7.2	100
Kenya	KEN	Africa:East		4.7	38.1	47.6	42.3	45	84	0.2	0.8		1.4	60
Kiribati	KIR	Micronesia		10.7	82.6	0.1	6.3	187	264	0.4	3.7		1.3	94
Korea Dem. Rep.	PRK	Asia:East											13.2	100
Korea Rep.	KOR	Asia:East	Y	7.5	54.4	36.1		1703	2321	2.1	5		10.3	
Kosovo	KSV	Europe:East												
Kuwait	KWT	MiddleEast		2.5	82.5	15.8	0	1428	1377	1.8	4.6		2.2	
