##				Research and development (R&D)		Scientific and technical journal articles	Expenditures for R&D	High-technology exports		Charges for the use of intellectual property		Patent applications filed		Trademark applications filed
Country	CountryCode	Region	OECD	Researchers	Technicians	Articles	RD	HTExportsDollar	HTExportsPerc	IPReceipts	IPPayments	PatentResidents	PatentNonresidents	TMTotal
##				full-time equivalent per million people	full-time equivalent per million people		% of GDP	$ millions	% of manufactured exports 	$ millions	$ millions			
##				2005-2011	2005-2011	2011	2005-2011	2012	2012	2012	2012	2012	2012	2012
Afghanistan	AFG	Asia:South				8				0	16			
Albania	ALB	Europe:East		148	38	27	0.15	5	0.4	2	23	3	8	2700
Algeria	DZA	Africa:North		165	33	599	0.07	2	0.1	3	137	119	781	6251
American Samoa	ASM	Polynesia		101										
Andorra	ADO	Europe:South				1								803
Angola	AGO	Africa:Center				6					3			
Antigua and Barbuda	ATG	Caribbean				0		0	0		1			675
Argentina	ARG	America:South		1178	236	3863	0.62	1946	7.7	161	2087	735	4078	83163
Armenia	ARM	Europe:East				185	0.27	7	2.6			137	4	4876
Aruba	ABW	Caribbean						3	10.2	0	10			
Australia	AUS	Oceania	Y	4280	1120	20603	2.38	4761	12.7	965	4186	2627	23731	63367
Austria	AUT	Europe:West	Y	4397	1996	5103	2.75	16176	12.8	776	1543	2258	294	9519
Azerbaijan	AZE	Europe:East				149	0.22	42	7.3	0	28	144	12	5743
Bahamas The	BHS	Caribbean				3		0	0		17			
Bahrain	BHR	MiddleEast				40		2	0.2			3	161	7026
Bangladesh	BGD	Asia:South				291				0	11	67	287	11429
Barbados	BRB	Caribbean				16		20	12	3	19		36	1397
Belarus	BLR	Europe:East				342	0.76	620	2.9	23	105	1681	190	11750
Belgium	BEL	Europe:West	Y	3679	1472	7484	2.04	36504	11.4	2651	2642	755	127	25961
Belize	BLZ	America:Center				3		0	4.8	3	2			
Benin	BEN	Africa:West				51		0	0.5	0	2			
Bermuda	BMU	Caribbean					0.24	0	7.3	0	10			
Bhutan	BTN	Asia:South				8		0	0	0	0			625
Bolivia	BOL	America:South		162	25	47	0.16	53	9.2	9	43			
Bosnia and Herzegovina	BIH	Europe:East		193	70	54	0.02	78	2.5	13	9	2	14	4517
Botswana	BWA	Africa:South				50	0.52	61	1.2	0	12			800
Brazil	BRA	America:South		710	656	13148	1.16	8820	10.5	511	3666	4804	25312	151711
Brunei Darussalam	BRN	Asia:SE				15		65	12.8		8		42	51
Bulgaria	BGR	Europe:East		1623	445	650	0.57	982	7.7	23	184	245	14	6329
Burkina Faso	BFA	Africa:West		48	37	53	0.2	3	5.9	0	0	2		34
Burundi	BDI	Africa:East				3	0.12	0	2.7	0	0			
Cambodia	KHM	Asia:SE				33		10	0.1	4	11	1	52	5140
Cameroon	CMR	Africa:Center				159		15	3.7	0	7			
Canada	CAN	America:North	Y	4368	1458	29017	1.74	24039	12.4	3745	10867	4709	30533	50110
Cabo Verde	CPV	Africa:West				1		0	0.6	0	0			
Cayman Islands	CYM	Caribbean												
Central African Republic	CAF	Africa:Center				4		0	0					
Chad	TCD	Africa:Center				2								
Channel Islands	CHI	Europe:North												
