"Duration","Start.date","End.date","Start.station","End.station","Bike.","Member.Type"
"0h 10min. 15sec.","4/20/2011 15:17","4/20/2011 15:27","L'Enfant Plaza / 7th & C St SW (31218)","Columbus Circle / Union Station (31623)","W00276","Registered"
"0h 15min. 22sec.","5/17/2011 21:58","5/17/2011 22:13","17th & Corcoran St NW (31214)","Georgia Ave and Fairmont St NW (31207)","W00425","Registered"
"0h 12min. 41sec.","5/6/2011 18:50","5/6/2011 19:02","20th & E St NW (31204)","5th & F St NW (31620)","W00094","Registered"
"0h 9min. 27sec.","4/5/2011 9:37","4/5/2011 9:46","25th St & Pennsylvania Ave NW (31237)","8th & H St NW (31228)","W00030","Registered"
"0h 14min. 14sec.","6/28/2011 22:56","6/28/2011 23:10","Kennedy Center (31211)","19th St & Constitution Ave NW (31235)","W00664","Registered"
"1h 3min. 43sec.","4/4/2011 11:40","4/4/2011 12:44","14th & G St NW (31238)","14th & G St NW (31238)","W00800","Casual"
"0h 31min. 58sec.","5/29/2011 11:57","5/29/2011 12:29","Georgetown Harbor / 30th St NW (31215)","14th & D St SE (31607)","W00553","Registered"
"0h 12min. 13sec.","6/25/2011 20:25","6/25/2011 20:38","Calvert St & Woodley Pl NW (31106)","36th & Calvert St NW / Glover Park (31304)","W00142","Registered"
"0h 11min. 6sec.","6/9/2011 19:19","6/9/2011 19:30","McPherson Square - 14th & H St NW (31216)","7th & F St NW / National Portrait Gallery (31232)","W00507","Registered"
"0h 5min. 35sec.","5/31/2011 15:27","5/31/2011 15:33","20th St & Florida Ave NW (31110)","14th & R St NW (31202)","W00680","Registered"
"0h 33min. 2sec.","6/25/2011 17:09","6/25/2011 17:42","20th St & Florida Ave NW (31110)","37th & O St NW / Georgetown University (31236)","W00516","Casual"
"0h 11min. 1sec.","6/26/2011 13:14","6/26/2011 13:25","3rd & D St SE (31605)","Potomac & Pennsylvania Ave SE (31606)","W00775","Registered"
"0h 14min. 44sec.","4/26/2011 16:00","4/26/2011 16:14","20th St & Florida Ave NW (31110)","11th & Kenyon St NW (31102)","W00146","Registered"
"0h 43min. 6sec.","5/1/2011 15:28","5/1/2011 16:11","10th & U St NW (31111)","C & O Canal & Wisconsin Ave NW (31225)","W00534","Casual"
"0h 4min. 36sec.","5/15/2011 9:16","5/15/2011 9:21","21st & M St NW (31212)","Massachusetts Ave & Dupont Circle NW (31200)","W00203","Casual"
"0h 29min. 53sec.","5/11/2011 12:33","5/11/2011 13:03","21st & I St NW (31205)","Harvard St & Adams Mill Rd NW (31112)","W00475","Registered"
"0h 5min. 39sec.","6/15/2011 21:55","6/15/2011 22:01","Adams Mill & Columbia Rd NW (31104)","Lamont & Mt Pleasant NW (31107)","W00954","Registered"
"0h 9min. 45sec.","6/20/2011 22:31","6/20/2011 22:41","17th & Corcoran St NW (31214)","C & O Canal & Wisconsin Ave NW (31225)","W00504","Registered"
"0h 18min. 52sec.","5/23/2011 19:48","5/23/2011 20:07","Eastern Market / 7th & North Carolina Ave SE (31610)","13th & D St NE (31622)","W00979","Registered"
"0h 18min. 8sec.","5/20/2011 8:51","5/20/2011 9:09","Kennedy Center (31211)","Lynn & 19th St North (31014)","W00361","Registered"
"0h 9min. 1sec.","6/21/2011 17:42","6/21/2011 17:51","14th & V St NW (31101)","14th & Rhode Island Ave NW (31203)","W00593","Registered"
"0h 10min. 34sec.","6/11/2011 9:38","6/11/2011 9:49","14th St Heights / 14th & Crittenden St NW (31402)","Park Rd & Holmead Pl NW (31602)","W00259","Casual"
"0h 6min. 33sec.","4/19/2011 17:31","4/19/2011 17:37","Massachusetts Ave & Dupont Circle NW (31200)","19th St & Pennsylvania Ave NW (31100)","W00393","Registered"
"0h 11min. 24sec.","5/19/2011 20:40","5/19/2011 20:51","15th & P St NW (31201)","Lamont & Mt Pleasant NW (31107)","W00618","Registered"
"1h 1min. 41sec.","6/15/2011 18:39","6/15/2011 19:41","Lynn & 19th St North (31014)","Lynn & 19th St North (31014)","W00933","Casual"
"2h 53min. 8sec.","5/28/2011 17:00","5/28/2011 19:53","1st & M St NE (31603)","1st & M St NE (31603)","W01074","Casual"
"0h 12min. 45sec.","6/24/2011 9:25","6/24/2011 9:38","14th St & Spring Rd NW (31401)","14th & Rhode Island Ave NW (31203)","W01047","Registered"
"0h 10min. 0sec.","5/24/2011 9:31","5/24/2011 9:41","Lamont & Mt Pleasant NW (31107)","Massachusetts Ave & Dupont Circle NW (31200)","W00822","Registered"
"0h 21min. 43sec.","5/19/2011 0:19","5/19/2011 0:41","3rd & H St NE (31616)","14th & Rhode Island Ave NW (31203)","W00310","Casual"
"0h 21min. 10sec.","5/14/2011 19:29","5/14/2011 19:50","27th & Crystal Dr (31009)","15th & Crystal Dr (31003)","W00602","Casual"
"1h 5min. 59sec.","6/15/2011 12:36","6/15/2011 13:42","14th & V St NW (31101)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00725","Casual"
"0h 2min. 33sec.","6/3/2011 19:10","6/3/2011 19:12","14th & Harvard St NW (31105)","Park Rd & Holmead Pl NW (31602)","W00865","Registered"
"0h 9min. 6sec.","4/3/2011 20:18","4/3/2011 20:27","Lincoln Park / 13th & East Capitol St NE  (31619)","8th & Eye St SE / Barracks Row (31608)","W00233","Registered"
"0h 6min. 6sec.","5/22/2011 14:13","5/22/2011 14:20","1st & M St NE (31603)","13th & H St NE (31611)","W00586","Casual"
