"Duration","Start.date","End.date","Start.station","End.station","Bike.","Member.Type"
"0h 39min. 53sec.","10/23/2010 21:15","10/23/2010 21:55","Eastern Market / 7th & North Carolina Ave SE (31610)","Massachusetts Ave & Dupont Circle NW (31200)","W00631","Registered"
"0h 16min. 52sec.","11/30/2010 12:49","11/30/2010 13:06","Massachusetts Ave & Dupont Circle NW (31200)","Park Rd & Holmead Pl NW (31602)","W00939","Registered"
"0h 45min. 15sec.","11/20/2010 16:37","11/20/2010 17:22","19th St & Constitution Ave NW (31235)","19th St & Constitution Ave NW (31235)","W00543","Casual"
"0h 6min. 15sec.","10/8/2010 17:41","10/8/2010 17:47","17th & K St NW [formerly 17th & L St NW] (31213)","15th & P St NW (31201)","W00080","Registered"
"0h 4min. 26sec.","11/17/2010 20:03","11/17/2010 20:08","8th & H St NW (31228)","North Capitol St & F St NW (31624)","W00407","Registered"
"0h 13min. 45sec.","11/14/2010 14:09","11/14/2010 14:22","8th & H St NW (31228)","14th & Rhode Island Ave NW (31203)","W00842","Registered"
"0h 14min. 43sec.","10/6/2010 19:10","10/6/2010 19:24","17th & K St NW [formerly 17th & L St NW] (31213)","14th & Harvard St NW (31105)","W00395","Registered"
"0h 14min. 6sec.","11/6/2010 20:41","11/6/2010 20:55","21st & I St NW (31205)","McPherson Square - 14th & H St NW (31216)","W01076","Registered"
"0h 5min. 13sec.","11/25/2010 14:09","11/25/2010 14:14","14th & D St SE (31607)","Lincoln Park / 13th & East Capitol St NE  (31619)","W00334","Registered"
"0h 10min. 4sec.","11/16/2010 10:41","11/16/2010 10:51","14th & Harvard St NW (31105)","17th & K St NW [formerly 17th & L St NW] (31213)","W00172","Registered"
"0h 11min. 42sec.","11/20/2010 12:32","11/20/2010 12:44","21st & M St NW (31212)","19th St & Constitution Ave NW (31235)","W00597","Casual"
"0h 3min. 49sec.","12/14/2010 15:29","12/14/2010 15:33","North Capitol St & F St NW (31624)","4th St & Massachusetts Ave NW (31604)","W00963","Registered"
"0h 9min. 10sec.","11/18/2010 19:05","11/18/2010 19:14","Columbus Circle / Union Station (31623)","Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","W00380","Registered"
"0h 23min. 23sec.","12/2/2010 12:12","12/2/2010 12:35","Wisconsin Ave & Macomb St NW (31302)","Park Rd & Holmead Pl NW (31602)","W01031","Registered"
