"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Bike.Key"
"0h 15m 14s","6/4/2012 6:59","6/4/2012 7:14","Maryland & Independence Ave SW","Thomas Circle","W00217","Registered"
"0h 13m 15s","4/3/2012 15:39","4/3/2012 15:52","Eastern Market Metro / Pennsylvania Ave & 7th St SE","4th & M St SW","W01308","Registered"
"0h 20m 51s","4/2/2012 16:52","4/2/2012 17:13","Jefferson Dr & 14th St SW","4th & E St SW","W00484","Registered"
"0h 7m 32s","5/24/2012 9:12","5/24/2012 9:20","Georgia & New Hampshire Ave NW","10th & U St NW","W01223","Registered"
"0h 16m 3s","5/25/2012 11:18","5/25/2012 11:34","Adams Mill & Columbia Rd NW","19th & E Street NW","W01128","Registered"
"0h 8m 47s","6/30/2012 8:56","6/30/2012 9:04","Convention Center / 7th & M St NW","Massachusetts Ave & Dupont Circle NW","W01448","Registered"
"0h 12m 31s","6/23/2012 20:59","6/23/2012 21:11","1st & K St SE","13th & D St NE","W00344","Casual"
"0h 3m 58s","6/28/2012 18:07","6/28/2012 18:11","6th & H St NE","11th & H St NE","W01217","Registered"
"0h 12m 12s","5/29/2012 17:28","5/29/2012 17:41","14th & Harvard St NW","17th & Rhode Island Ave NW","W20018","Registered"
"0h 18m 11s","6/10/2012 2:20","6/10/2012 2:38","California St & Florida Ave NW","4th St & Massachusetts Ave NW","W00834","Registered"
"0h 13m 20s","6/12/2012 23:43","6/12/2012 23:57","Calvert St & Woodley Pl NW","Van Ness Metro / UDC","W01148","Registered"
"0h 22m 22s","4/5/2012 19:01","4/5/2012 19:24","USDA / 12th & Independence Ave SW","USDA / 12th & Independence Ave SW","W00311","Casual"
"0h 5m 53s","4/4/2012 14:12","4/4/2012 14:18","14th & Harvard St NW","10th & U St NW","W00893","Registered"
"0h 18m 5s","6/18/2012 18:41","6/18/2012 18:59","New York Ave & 15th St NW","10th & U St NW","W00506","Registered"
"0h 14m 42s","5/15/2012 18:14","5/15/2012 18:29","Lynn & 19th St North","Kennedy Center","W00388","Registered"
"0h 13m 31s","6/3/2012 12:36","6/3/2012 12:49","1st & M St NE","14th & R St NW","W00089","Registered"
"0h 31m 31s","4/16/2012 14:30","4/16/2012 15:01","Smithsonian / Jefferson Dr & 12th St SW","Thomas Circle","W00243","Casual"
"0h 4m 13s","4/14/2012 16:40","4/14/2012 16:45","Calvert St & Woodley Pl NW","Adams Mill & Columbia Rd NW","W01376","Registered"
"0h 2m 25s","5/18/2012 13:11","5/18/2012 13:14","21st & M St NW","20th & O St NW / Dupont South","W20091","Registered"
"0h 16m 0s","6/12/2012 18:16","6/12/2012 18:32","Metro Center / 12th & G St NW","10th & U St NW","W00733","Registered"
"0h 58m 2s","4/7/2012 13:41","4/7/2012 14:39","Georgetown Harbor / 30th St NW","Georgetown Harbor / 30th St NW","W00742","Casual"
"0h 2m 59s","5/6/2012 14:11","5/6/2012 14:14","California St & Florida Ave NW","17th & Corcoran St NW","W00251","Registered"
"0h 26m 48s","6/9/2012 22:09","6/9/2012 22:36","Tenleytown / Wisconsin Ave & Albemarle St NW","Van Ness Metro / UDC","W00551","Casual"
"0h 1m 46s","6/19/2012 17:08","6/19/2012 17:09","20th & Crystal Dr","18th & Bell St","W20123","Registered"
"0h 29m 26s","5/20/2012 12:59","5/20/2012 13:29","Massachusetts Ave & Dupont Circle NW","D St & Maryland Ave NE","W00194","Casual"
"0h 8m 10s","6/11/2012 16:56","6/11/2012 17:04","Lincoln Park / 13th & East Capitol St NE ","Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20112","Registered"
"2h 2m 49s","4/11/2012 10:11","4/11/2012 12:14","14th & G St NW","14th & G St NW","W00562","Casual"
"0h 15m 56s","6/20/2012 22:01","6/20/2012 22:17","25th St & Pennsylvania Ave NW","5th St & K St NW","W01264","Registered"
"0h 8m 27s","6/4/2012 10:21","6/4/2012 10:29","15th & P St NW","New York Ave & 15th St NW","W00083","Casual"
"0h 9m 38s","6/13/2012 10:56","6/13/2012 11:06","20th St & Florida Ave NW","19th St & Pennsylvania Ave NW","W20078","Registered"
"0h 4m 23s","4/18/2012 15:43","4/18/2012 15:48","27th & Crystal Dr","20th & Crystal Dr","W00601","Registered"
"0h 6m 2s","6/20/2012 21:00","6/20/2012 21:06","14th & R St NW","Florida Ave & R St NW","W00206","Registered"
"0h 16m 45s","5/6/2012 15:15","5/6/2012 15:32","Eastern Market Metro / Pennsylvania Ave & 7th St SE","1st & M St NE","W00490","Registered"
"0h 2m 2s","4/14/2012 16:21","4/14/2012 16:23","N Rhodes & 16th St N","N Rhodes & 16th St N","W00289","Registered"
"0h 13m 45s","6/18/2012 16:43","6/18/2012 16:56","17th & K St NW / Farragut Square","North Capitol St & F St NW","W00481","Registered"
"0h 9m 57s","5/18/2012 17:18","5/18/2012 17:28","Court House Metro / Wilson Blvd & N Uhle St","Ballston Metro / N Stuart & 9th St N","W00893","Registered"
"0h 13m 28s","5/28/2012 17:56","5/28/2012 18:09","Harvard St & Adams Mill Rd NW","17th & Corcoran St NW","W20113","Registered"
"0h 35m 11s","6/16/2012 16:34","6/16/2012 17:09","California St & Florida Ave NW","20th & Crystal Dr","W01220","Registered"
"0h 16m 11s","4/10/2012 14:23","4/10/2012 14:40","1st & M St NE","10th & U St NW","W00118","Registered"
"0h 5m 54s","4/24/2012 8:24","4/24/2012 8:30","17th & K St NW [formerly 17th & L St NW]","19th St & Constitution Ave NW","W00684","Registered"
"0h 8m 57s","6/18/2012 19:46","6/18/2012 19:55","8th & H St NW","7th & T St NW","W01429","Registered"
"0h 7m 29s","5/25/2012 17:05","5/25/2012 17:13","15th & Crystal Dr","S Joyce & Army Navy Dr","W01025","Registered"
"0h 6m 29s","4/8/2012 10:38","4/8/2012 10:45","14th & Rhode Island Ave NW","Massachusetts Ave & Dupont Circle NW","W01296","Casual"
"0h 9m 53s","5/24/2012 19:50","5/24/2012 20:00","Adams Mill & Columbia Rd NW","14th & Harvard St NW","W20164","Registered"
"0h 20m 46s","6/9/2012 6:43","6/9/2012 7:03","Florida Ave & R St NW","Georgetown Harbor / 30th St NW","W00602","Registered"
"0h 8m 32s","6/20/2012 20:41","6/20/2012 20:50","Eastern Market Metro / Pennsylvania Ave & 7th St SE","13th & D St NE","W00430","Registered"
"0h 0m 50s","4/19/2012 22:50","4/19/2012 22:51","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W00409","Registered"
"0h 4m 29s","5/15/2012 13:07","5/15/2012 13:11","Metro Center / 12th & G St NW","10th St & Constitution Ave NW","W01365","Registered"
"0h 13m 54s","5/24/2012 20:33","5/24/2012 20:47","26th & Crystal Dr","27th & Crystal Dr","W01231","Registered"
"0h 10m 6s","6/11/2012 14:30","6/11/2012 14:40","25th St & Pennsylvania Ave NW","37th & O St NW / Georgetown University","W00710","Registered"
