"Duration","Start.date","Start.Station","End.date","End.Station","Bike.","Member.Type"
"0h 17m 6s","3/15/2014 16:04","Florida Ave & R St NW","3/15/2014 16:22","New York Ave & 15th St NW","W01072","Casual"
"0h 6m 49s","1/15/2014 17:33","North Capitol St & F St NW","1/15/2014 17:40","10th & E St NW","W21264","Registered"
"0h 6m 42s","2/17/2014 13:21","14th & Belmont St NW","2/17/2014 13:28","Park Rd & Holmead Pl NW","W20073","Registered"
"0h 7m 28s","3/13/2014 16:50","14th & V St NW","3/13/2014 16:57","11th & K St NW","W20718","Registered"
"0h 22m 12s","3/10/2014 14:16","Convention Center / 7th & M St NW","3/10/2014 14:38","Benning Rd & East Capitol St NE / Benning Rd Metro","W20323","Registered"
"0h 11m 19s","3/28/2014 15:46","14th & Rhode Island Ave NW","3/28/2014 15:57","14th & V St NW","W21318","Casual"
"0h 36m 21s","3/22/2014 15:15","McPherson Square / 14th & H St NW","3/22/2014 15:51","Calvert St & Woodley Pl NW","W00955","Casual"
"0h 13m 39s","2/19/2014 17:07","10th St & Constitution Ave NW","2/19/2014 17:21","4th & M St SW","W21502","Registered"
"0h 3m 51s","3/19/2014 7:40","Braddock Rd Metro","3/19/2014 7:43","Saint Asaph St & Pendleton  St","W01427","Registered"
"0h 14m 26s","2/7/2014 13:06","Georgia & New Hampshire Ave NW","2/7/2014 13:20","Thomas Circle","W20876","Registered"
"0h 12m 39s","2/3/2014 17:16","19th St & Pennsylvania Ave NW","2/3/2014 17:28","7th & F St NW / National Portrait Gallery","W20686","Registered"
"0h 6m 50s","3/15/2014 19:05","New Hampshire Ave & T St NW","3/15/2014 19:12","Massachusetts Ave & Dupont Circle NW","W21101","Casual"
"0h 7m 5s","1/30/2014 23:13","Massachusetts Ave & Dupont Circle NW","1/30/2014 23:20","Wisconsin Ave & O St NW","W00901","Registered"
"0h 32m 48s","3/10/2014 16:03","21st St & Constitution Ave NW","3/10/2014 16:36","Jefferson Dr & 14th St SW","W01365","Casual"
"0h 6m 54s","1/11/2014 13:15","5th & Kennedy St NW","1/11/2014 13:22","Georgia & New Hampshire Ave NW","W01381","Registered"
"0h 4m 48s","3/25/2014 8:59","L'Enfant Plaza / 7th & C St SW","3/25/2014 9:04","10th St & Constitution Ave NW","W20818","Registered"
"0h 5m 53s","2/12/2014 9:15","12th & L St NW","2/12/2014 9:21","17th & Rhode Island Ave NW","W01399","Registered"
"0h 5m 15s","3/1/2014 23:26","18th St & Wyoming Ave NW","3/1/2014 23:31","Massachusetts Ave & Dupont Circle NW","W00570","Registered"
"0h 8m 8s","2/1/2014 15:21","14th & Belmont St NW","2/1/2014 15:29","14th & G St NW","W20004","Registered"
"0h 14m 58s","3/18/2014 18:32","12th & L St NW","3/18/2014 18:47","California St & Florida Ave NW","W20548","Registered"
"0h 12m 33s","3/20/2014 18:04","North Capitol St & F St NW","3/20/2014 18:16","McPherson Square / 14th & H St NW","W21384","Registered"
"0h 9m 52s","2/24/2014 8:52","Columbia Rd & Georgia Ave NW","2/24/2014 9:01","15th & K St NW","W00625","Registered"
"0h 16m 4s","1/31/2014 18:02","20th & L St NW","1/31/2014 18:18","8th & D St NW","W20400","Registered"
"0h 1m 18s","3/6/2014 20:01","California St & Florida Ave NW","3/6/2014 20:02","California St & Florida Ave NW","W20501","Registered"
"0h 6m 8s","1/5/2014 13:16","15th & P St NW","1/5/2014 13:22","New Hampshire Ave & T St NW","W21113","Registered"
"0h 3m 0s","1/15/2014 22:33","20th St & Florida Ave NW","1/15/2014 22:36","California St & Florida Ave NW","W00050","Registered"
"0h 21m 23s","2/24/2014 8:54","14th & D St SE","2/24/2014 9:15","6th St & Indiana Ave NW","W21373","Registered"
"0h 5m 15s","2/4/2014 19:38","New Hampshire Ave & T St NW","2/4/2014 19:43","17th & Rhode Island Ave NW","W21227","Registered"
"0h 7m 45s","2/12/2014 12:52","New Jersey Ave & R St NW","2/12/2014 12:59","15th & K St NW","W20630","Registered"
"0h 5m 1s","2/10/2014 19:58","17th St & Massachusetts Ave NW","2/10/2014 20:04","17th St & Massachusetts Ave NW","W21586","Registered"
"0h 8m 54s","3/31/2014 14:29","5th & K St NW","3/31/2014 14:38","Smithsonian / Jefferson Dr & 12th St SW","W00982","Registered"
"0h 5m 36s","3/18/2014 7:42","17th & K St NW","3/18/2014 7:48","19th & E Street NW","W01250","Registered"
"0h 10m 56s","3/16/2014 10:41","14th & R St NW","3/16/2014 10:52","21st St & Pennsylvania Ave NW","W20582","Registered"
"0h 20m 15s","1/17/2014 17:44","M St & Pennsylvania Ave NW","1/17/2014 18:04","Wilson Blvd & Franklin Rd","W00795","Registered"
"0h 5m 55s","1/10/2014 0:33","11th & Kenyon St NW","1/10/2014 0:39","16th & Harvard St NW","W00860","Registered"
"0h 30m 54s","1/12/2014 11:42","22nd & I St NW / Foggy Bottom","1/12/2014 12:13","19th St & Constitution Ave NW","W01282","Casual"
"0h 4m 52s","1/17/2014 8:25","15th & P St NW","1/17/2014 8:30","18th & M St NW","W21143","Registered"
"0h 7m 42s","2/22/2014 10:41","John McCormack Dr & Michigan Ave NE","2/22/2014 10:49","1st & Washington Hospital Center NW","W00216","Registered"
"0h 5m 9s","2/6/2014 6:42","11th & M St NW","2/6/2014 6:47","7th & T St NW","W01111","Registered"
"0h 13m 37s","2/20/2014 18:57","M St & New Jersey Ave SE","2/20/2014 19:10","11th & H St NE","W00319","Registered"
