서적명,일자,판매량
0002,20150101,0
0002,20150102,0
0002,20150106,0
0002,20150107,0
0002,20150108,0
0002,20150109,0
0002,20150110,0
0002,20150112,0
0002,20150114,0
0002,20150115,0
0002,20150117,0
0002,20150118,0
0002,20150119,0
0002,20150120,0
0002,20150121,0
0002,20150123,0
0002,20150124,0
0002,20150126,0
0002,20150128,0
0002,20150129,0
0002,20150130,0
0002,20150131,0
0002,20150201,0
0002,20150203,0
0002,20150205,0
0002,20150204,0
0002,20150206,0
0002,20150208,0
0002,20150207,0
0002,20150210,0
0002,20150211,0
0002,20150215,0
0002,20150216,0
0002,20150218,0
0002,20150217,0
0002,20150225,0
0002,20150226,0
0002,20150224,0
0002,20150228,0
0002,20150301,0
0002,20150227,0
0002,20150303,0
0002,20150305,0
0002,20150307,0
0002,20150309,0
0002,20150308,0
0002,20150310,0
0002,20150311,0
0002,20150317,0
0002,20150316,0
0002,20150319,0
0002,20150320,0
0002,20150322,0
0002,20150323,0
0002,20150327,0
0002,20150328,0
0002,20150329,0
0002,20150331,0
0002,20150330,0
0002,20150306,0
0002,20150313,0
0002,20150219,0
0002,20150221,0
0002,20150223,0
0002,20150213,0
0002,20150209,0
0002,20150116,0
0002,20150326,0
0002,20150220,0
0002,20150122,0
0002,20150113,0
0002,20150318,0
0002,20150324,0
0002,20150212,0
0002,20150312,0
0002,20150202,0
0002,20150302,0
0002,20150314,0
0002,20150103,0
0002,20150304,0
0002,20150125,0
0002,20150214,0
0002,20150111,0
0002,20150105,0
0002,20150325,0
0002,20150315,0
0002,20150222,0
0002,20150321,0
0002,20150127,0
0002,20150104,0
0003,20150101,0
0003,20150102,0
0003,20150103,0
0003,20150107,0
0003,20150109,0
0003,20150111,0
0003,20150113,0
0003,20150112,0
0003,20150117,0
0003,20150118,0
0003,20150123,0
0003,20150124,0
0003,20150130,0
0003,20150210,0
0003,20150227,0
0003,20150307,0
0003,20150309,0
0003,20150311,0
0003,20150315,0
0003,20150317,0
0003,20150319,0
0003,20150326,0
0003,20150328,0
0003,20150330,0
0003,20150331,0
0003,20150323,0
0003,20150219,0
0003,20150313,0
0003,20150221,0
0003,20150211,0
0003,20150213,0
0003,20150303,0
0003,20150201,0
0003,20150126,0
0003,20150122,0
0003,20150106,0
0003,20150116,0
0003,20150125,0
0003,20150327,0
0003,20150105,0
0003,20150316,0
0003,20150321,0
0003,20150226,0
0003,20150228,0
0003,20150301,0
0003,20150216,0
0003,20150223,0
0003,20150329,0
0003,20150305,0
0003,20150218,0
0003,20150214,0
0003,20150217,0
0003,20150220,0
0003,20150204,0
0003,20150208,0
0003,20150207,0
0003,20150320,0
0003,20150121,0
0003,20150322,0
0003,20150131,0
0003,20150203,0
0003,20150206,0
0003,20150324,0
0003,20150314,0
0003,20150304,0
0003,20150224,0
0003,20150215,0
0003,20150128,0
0003,20150205,0
0003,20150209,0
0003,20150308,0
0003,20150115,0
0003,20150318,0
0003,20150302,0
0003,20150129,0
0003,20150104,0
0003,20150108,0
0003,20150225,0
0003,20150222,0
0003,20150212,0
0003,20150202,0
0003,20150119,0
0003,20150110,0
0003,20150325,0
0003,20150306,0
0003,20150310,0
0003,20150312,0
0003,20150127,0
0003,20150114,0
0003,20150120,0
0006,20150101,0
0006,20150110,0
0006,20150109,0
0006,20150111,0
0006,20150117,0
0006,20150119,0
0006,20150125,0
0006,20150202,0
0006,20150210,0
0006,20150212,0
0006,20150214,0
0006,20150223,0
0006,20150304,0
0006,20150305,0
0006,20150314,0
0006,20150315,0
0006,20150323,0
0006,20150326,0
0006,20150330,0
0006,20150331,0
0006,20150329,0
0006,20150321,0
0006,20150311,0
0006,20150228,0
0006,20150301,0
0006,20150327,0
0006,20150226,0
0006,20150216,0
0006,20150317,0
0006,20150211,0
0006,20150218,0
0006,20150307,0
0006,20150206,0
0006,20150208,0
0006,20150127,0
0006,20150128,0
0006,20150118,0
0006,20150107,0
0006,20150108,0
0006,20150309,0
0006,20150115,0
0006,20150319,0
0006,20150220,0
0006,20150224,0
0006,20150325,0
0006,20150316,0
0006,20150306,0
0006,20150221,0
0006,20150126,0
0006,20150213,0
0006,20150318,0
0006,20150113,0
0006,20150320,0
0006,20150131,0
0006,20150203,0
0006,20150103,0
0006,20150322,0
0006,20150308,0
0006,20150114,0
0006,20150310,0
0006,20150312,0
0006,20150204,0
0006,20150302,0
0006,20150121,0
0006,20150122,0
0006,20150225,0
0006,20150219,0
0006,20150215,0
0006,20150201,0
0006,20150209,0
0006,20150123,0
0006,20150130,0
0006,20150116,0
0006,20150112,0
0006,20150106,0
0006,20150313,0
0006,20150205,0
0006,20150124,0
0006,20150104,0
0006,20150303,0
0006,20150222,0
0006,20150129,0
0006,20150120,0
0006,20150102,0
0006,20150105,0
0006,20150328,0
0006,20150227,0
0006,20150207,0
0006,20150324,0
0006,20150217,0
0007,20150102,0
0007,20150105,0
0007,20150106,0
0007,20150107,0
0007,20150115,0
0007,20150116,0
0007,20150117,0
0007,20150123,0
0007,20150122,0
0007,20150125,0
0007,20150127,0
0007,20150128,0
0007,20150129,0
0007,20150130,0
0007,20150201,0
0007,20150202,0
0007,20150203,0
0007,20150205,0
0007,20150206,0
0007,20150208,0
0007,20150211,0
0007,20150210,0
0007,20150212,0
0007,20150213,0
0007,20150215,0
0007,20150216,0
0007,20150218,0
0007,20150219,0
0007,20150221,0
0007,20150220,0
0007,20150223,0
0007,20150225,0
0007,20150226,0
0007,20150224,0
0007,20150301,0
0007,20150227,0
0007,20150302,0
0007,20150303,0
0007,20150305,0
0007,20150304,0
0007,20150306,0
0007,20150307,0
0007,20150308,0
0007,20150309,0
0007,20150310,0
0007,20150311,0
0007,20150312,0
0007,20150313,0
0007,20150314,0
0007,20150315,0
0007,20150318,0
0007,20150316,0
0007,20150319,0
0007,20150317,0
0007,20150320,0
0007,20150322,0
0007,20150321,0
0007,20150323,0
0007,20150324,0
0007,20150325,0
0007,20150327,0
0007,20150326,0
0007,20150329,0
0007,20150328,0
0007,20150331,0
0007,20150330,0
0007,20150217,0
0007,20150207,0
0007,20150209,0
0007,20150118,0
0007,20150108,0
0007,20150126,0
0007,20150120,0
0007,20150124,0
0007,20150110,0
0007,20150214,0
0007,20150113,0
0007,20150103,0
0007,20150204,0
0007,20150121,0
0007,20150111,0
0007,20150112,0
0007,20150114,0
0007,20150101,0
0007,20150104,0
0007,20150222,0
0007,20150131,0
0007,20150109,0
0007,20150228,0
0007,20150119,0
0008,20150101,0
0008,20150102,0
0008,20150103,0
0008,20150104,0
0008,20150105,0
0008,20150106,0
0008,20150107,0
0008,20150108,0
0008,20150109,0
0008,20150110,0
0008,20150111,0
0008,20150112,0
0008,20150113,0
0008,20150115,0
0008,20150114,0
0008,20150116,0
0008,20150117,0
0008,20150118,0
0008,20150119,0
0008,20150120,0
0008,20150121,0
0008,20150122,0
0008,20150123,0
0008,20150124,0
0008,20150125,0
0008,20150126,0
0008,20150127,0
0008,20150128,0
0008,20150129,0
0008,20150131,0
0008,20150130,0
0008,20150202,0
0008,20150201,0
0008,20150203,0
0008,20150205,0
0008,20150204,0
0008,20150206,0
0008,20150208,0
0008,20150207,0
0008,20150209,0
0008,20150210,0
0008,20150212,0
0008,20150211,0
0008,20150213,0
0008,20150215,0
0008,20150216,0
0008,20150214,0
0008,20150218,0
0008,20150219,0
0008,20150217,0
0008,20150221,0
0008,20150222,0
0008,20150223,0
0008,20150225,0
0008,20150226,0
0008,20150224,0
0008,20150228,0
0008,20150301,0
0008,20150227,0
0008,20150302,0
0008,20150303,0
0008,20150305,0
0008,20150306,0
0008,20150304,0
0008,20150307,0
0008,20150308,0
0008,20150310,0
0008,20150309,0
0008,20150311,0
0008,20150312,0
0008,20150313,0
0008,20150315,0
0008,20150314,0
0008,20150316,0
0008,20150317,0
0008,20150318,0
0008,20150319,0
0008,20150321,0
0008,20150320,0
0008,20150322,0
0008,20150324,0
0008,20150323,0
0008,20150325,0
0008,20150326,0
0008,20150327,0
0008,20150329,0
0008,20150330,0
0008,20150331,0
0008,20150328,0
0008,20150220,0
0009,20150101,0
0009,20150102,0
0009,20150103,0
0009,20150104,0
0009,20150105,0
0009,20150106,0
0009,20150107,0
0009,20150108,0
0009,20150109,0
0009,20150111,0
0009,20150113,0
0009,20150112,0
0009,20150114,0
0009,20150116,0
0009,20150115,0
0009,20150117,0
0009,20150118,0
0009,20150120,0
0009,20150121,0
0009,20150122,0
0009,20150123,0
0009,20150124,0
0009,20150126,0
0009,20150125,0
0009,20150127,0
0009,20150128,0
0009,20150129,0
0009,20150130,0
0009,20150201,0
0009,20150131,0
0009,20150202,0
0009,20150203,0
0009,20150204,0
0009,20150205,0
0009,20150207,0
0009,20150206,0
0009,20150209,0
0009,20150210,0
0009,20150208,0
0009,20150211,0
0009,20150214,0
0009,20150213,0
0009,20150212,0
0009,20150215,0
0009,20150217,0
0009,20150216,0
0009,20150220,0
0009,20150219,0
0009,20150218,0
0009,20150221,0
0009,20150222,0
0009,20150223,0
0009,20150224,0
0009,20150226,0
0009,20150225,0
0009,20150227,0
0009,20150302,0
0009,20150228,0
0009,20150301,0
0009,20150303,0
0009,20150304,0
0009,20150307,0
0009,20150305,0
0009,20150308,0
0009,20150306,0
0009,20150310,0
0009,20150312,0
0009,20150313,0
0009,20150311,0
0009,20150314,0
0009,20150317,0
0009,20150316,0
0009,20150320,0
0009,20150318,0
0009,20150319,0
0009,20150321,0
0009,20150322,0
0009,20150323,0
0009,20150326,0
0009,20150325,0
0009,20150324,0
0009,20150328,0
0009,20150329,0
0009,20150330,0
0009,20150331,0
0009,20150327,0
0009,20150309,0
0009,20150110,0
0009,20150315,0
0009,20150119,0
0010,20150207,0
0010,20150212,0
0010,20150217,0
0010,20150221,0
0010,20150223,0
0010,20150227,0
0010,20150226,0
0010,20150228,0
0010,20150315,0
0010,20150323,0
0010,20150321,0
0010,20150327,0
0010,20150329,0
0010,20150331,0
0010,20150309,0
0010,20150319,0
0010,20150325,0
0010,20150220,0
0010,20150311,0
0010,20150210,0
0010,20150317,0
0010,20150305,0
0010,20150307,0
0010,20150218,0
0010,20150208,0
0010,20150224,0
0010,20150314,0
0010,20150304,0
0010,20150320,0
0010,20150326,0
0010,20150313,0
0010,20150303,0
0010,20150214,0
0010,20150204,0
0010,20150306,0
0010,20150322,0
0010,20150328,0
0010,20150215,0
0010,20150324,0
0010,20150310,0
0010,20150205,0
0010,20150312,0
0010,20150318,0
0010,20150302,0
0010,20150308,0
0010,20150211,0
0010,20150316,0
0010,20150301,0
0010,20150222,0
0010,20150225,0
0010,20150213,0
0010,20150216,0
0010,20150206,0
0010,20150330,0
0010,20150209,0
0010,20150219,0
0011,20150311,0
0011,20150310,0
0011,20150309,0
0011,20150313,0
0011,20150315,0
0011,20150314,0
0011,20150317,0
0011,20150318,0
0011,20150320,0
0011,20150321,0
0011,20150322,0
0011,20150325,0
0011,20150324,0
0011,20150323,0
0011,20150326,0
0011,20150329,0
0011,20150330,0
0011,20150328,0
0011,20150331,0
0011,20150316,0
0011,20150312,0
0011,20150319,0
0011,20150327,0
0013,20150101,0
0013,20150102,0
0013,20150103,0
0013,20150104,0
0013,20150105,0
0013,20150106,0
0013,20150107,0
0013,20150108,0
0013,20150109,0
0013,20150110,0
0013,20150111,0
0013,20150112,0
0013,20150115,0
0013,20150116,0
0013,20150117,0
0013,20150118,0
0013,20150119,0
0013,20150120,0
0013,20150121,0
0013,20150122,0
0013,20150123,0
0013,20150124,0
0013,20150125,0
0013,20150126,0
0013,20150127,0
0013,20150128,0
0013,20150129,0
0013,20150131,0
0013,20150201,0
0013,20150202,0
0013,20150203,0
0013,20150204,0
0013,20150205,0
0013,20150206,0
0013,20150207,0
0013,20150208,0
0013,20150210,0
0013,20150209,0
0013,20150211,0
0013,20150212,0
0013,20150213,0
0013,20150214,0
0013,20150216,0
0013,20150215,0
0013,20150217,0
0013,20150219,0
0013,20150220,0
0013,20150218,0
0013,20150221,0
0013,20150222,0
0013,20150223,0
0013,20150225,0
0013,20150226,0
0013,20150224,0
0013,20150227,0
0013,20150228,0
0013,20150301,0
0013,20150302,0
0013,20150306,0
0013,20150307,0
0013,20150305,0
0013,20150308,0
0013,20150309,0
0013,20150310,0
0013,20150311,0
0013,20150312,0
0013,20150313,0
0013,20150314,0
0013,20150317,0
0013,20150315,0
0013,20150318,0
0013,20150319,0
0013,20150321,0
0013,20150320,0
0013,20150322,0
0013,20150323,0
0013,20150325,0
0013,20150326,0
0013,20150324,0
0013,20150328,0
0013,20150330,0
0013,20150331,0
0013,20150316,0
0013,20150303,0
0013,20150327,0
0013,20150130,0
0013,20150114,0
0013,20150304,0
0013,20150329,0
0014,20150103,0
0014,20150113,0
0014,20150124,0
0014,20150126,0
0014,20150128,0
0014,20150202,0
0014,20150212,0
0014,20150223,0
0014,20150221,0
0014,20150302,0
0014,20150304,0
0014,20150305,0
0014,20150308,0
0014,20150310,0
0014,20150312,0
0014,20150314,0
0014,20150315,0
0014,20150318,0
0014,20150323,0
0014,20150328,0
0014,20150120,0
0014,20150329,0
0014,20150327,0
0014,20150325,0
0014,20150317,0
0014,20150321,0
0014,20150311,0
0014,20150331,0
0014,20150228,0
0014,20150301,0
0014,20150307,0
0014,20150218,0
0014,20150220,0
0014,20150224,0
0014,20150214,0
0014,20150131,0
0014,20150208,0
0014,20150204,0
0014,20150127,0
0014,20150107,0
0014,20150309,0
0014,20150117,0
0014,20150118,0
0014,20150121,0
0014,20150122,0
0014,20150101,0
0014,20150319,0
0014,20150326,0
0014,20150210,0
0014,20150226,0
0014,20150222,0
0014,20150125,0
0014,20150209,0
0014,20150119,0
0014,20150109,0
0014,20150110,0
0014,20150123,0
0014,20150115,0
0014,20150105,0
0014,20150108,0
0014,20150227,0
0014,20150217,0
