"","서적명","sum_sales","순위"
"1",1,0,162
"2",2,0,162
"3",3,0,162
"4",6,0,162
"5",7,0,162
"6",8,0,162
"7",9,0,162
"8",10,0,162
"9",11,0,162
"10",13,0,162
"11",14,0,162
"12",15,0,162
"13",16,0,162
"14",17,17000,159
"15",19,0,162
"16",20,0,162
"17",21,0,162
"18",22,0,162
"19",23,0,162
"20",24,0,162
"21",25,0,162
"22",26,0,162
"23",27,0,162
"24",28,0,162
"25",29,0,162
"26",30,0,162
"27",31,0,162
"28",32,0,162
"29",33,0,162
"30",34,0,162
"31",35,0,162
"32",36,0,162
"33",37,0,162
"34",38,0,162
"35",39,0,162
"36",40,0,162
"37",41,0,162
"38",42,0,162
"39",43,0,162
"40",44,0,162
"41",45,0,162
"42",46,0,162
"43",47,0,162
"44",48,0,162
"45",49,0,162
"46",50,0,162
"47",51,0,162
"48",52,0,162
"49",53,0,162
"50",54,0,162
"51",55,0,162
"52",56,0,162
"53",57,0,162
"54",58,0,162
"55",59,0,162
"56",60,0,162
"57",61,0,162
"58",62,0,162
"59",63,0,162
"60",64,0,162
"61",68,0,162
"62",69,0,162
"63",70,0,162
"64",71,0,162
"65",72,0,162
"66",73,0,162
"67",74,0,162
"68",75,0,162
"69",76,0,162
"70",77,0,162
"71",78,0,162
"72",82,0,162
"73",83,0,162
"74",85,0,162
"75",89,18863625,106
"76",90,179154500,55
"77",91,65430875,77
"78",92,102634100,71
"79",103,0,162
"80",104,0,162
"81",107,0,162
"82",108,0,162
"83",109,0,162
"84",110,769250,144
"85",111,0,162
"86",112,0,162
"87",117,0,162
"88",118,0,162
"89",121,0,162
"90",122,0,162
"91",123,0,162
"92",128,3336250,133
"93",129,0,162
"94",130,0,162
"95",131,0,162
"96",132,0,162
"97",133,0,162
"98",134,0,162
"99",135,2782900,134
"100",136,0,162
"101",137,0,162
"102",138,0,162
"103",139,0,162
"104",140,0,162
"105",141,0,162
"106",142,0,162
"107",143,0,162
"108",144,0,162
"109",145,0,162
"110",146,0,162
"111",147,0,162
"112",148,0,162
"113",149,0,162
"114",150,0,162
"115",151,0,162
"116",152,0,162
"117",153,0,162
"118",154,0,162
"119",155,0,162
"120",156,892925,143
"121",157,0,162
"122",158,0,162
"123",160,0,162
"124",161,0,162
"125",162,0,162
"126",163,0,162
"127",164,0,162
"128",166,0,162
"129",168,0,162
"130",169,0,162
"131",170,0,162
"132",171,0,162
"133",172,0,162
"134",178,0,162
"135",184,0,162
"136",185,0,162
"137",186,0,162
"138",187,0,162
"139",188,0,162
"140",189,248353000,48
"141",190,2061250,137
"142",191,0,162
"143",192,0,162
"144",193,0,162
"145",195,0,162
"146",198,0,162
"147",199,0,162
"148",200,0,162
"149",201,0,162
"150",206,0,162
"151",207,418472000,40
"152",211,0,162
"153",212,0,162
"154",213,0,162
"155",214,0,162
"156",215,0,162
"157",216,0,162
"158",217,0,162
"159",218,0,162
"160",219,0,162
"161",220,0,162
"162",221,0,162
"163",222,0,162
"164",223,0,162
"165",224,0,162
"166",225,43309625,87
"167",226,0,162
"168",228,0,162
"169",229,0,162
"170",230,0,162
"171",231,0,162
"172",232,0,162
"173",233,0,162
"174",234,0,162
"175",235,0,162
"176",238,0,162
"177",239,0,162
"178",241,0,162
"179",244,0,162
"180",245,0,162
"181",246,0,162
"182",247,0,162
"183",248,0,162
"184",249,0,162
"185",250,0,162
"186",251,0,162
"187",252,0,162
"188",254,0,162
"189",255,0,162
"190",256,259250,151
"191",259,0,162
"192",263,0,162
"193",264,0,162
"194",265,0,162
"195",272,0,162
"196",275,0,162
"197",276,0,162
"198",277,0,162
"199",280,0,162
"200",281,0,162
"201",282,0,162
"202",283,0,162
"203",284,0,162
"204",285,0,162
"205",286,0,162
"206",287,3249017475,21
"207",289,0,162
"208",290,3865328250,16
"209",291,12038401250,10
"210",293,0,162
"211",294,0,162
"212",298,0,162
"213",299,0,162
"214",300,0,162
"215",301,0,162
"216",302,0,162
"217",303,0,162
"218",304,0,162
"219",305,0,162
"220",306,0,162
"221",308,0,162
"222",310,0,162
"223",311,0,162
"224",314,0,162
"225",316,0,162
"226",321,0,162
"227",323,0,162
"228",325,0,162
"229",326,0,162
"230",327,0,162
"231",328,0,162
"232",329,0,162
"233",330,0,162
"234",331,0,162
"235",332,0,162
"236",338,13379850,108
"237",342,527611150,37
"238",343,23412400,99
"239",344,0,162
"240",345,0,162
"241",346,0,162
