GPA,GMAT,result
2.96,596,accepted
3.14,473,accepted
3.22,482,accepted
3.29,527,accepted
3.69,505,accepted
3.46,693,accepted
3.03,626,accepted
3.19,663,accepted
3.63,447,accepted
3.59,588,accepted
3.3,563,accepted
3.4,553,accepted
3.5,572,accepted
3.78,591,accepted
3.44,692,accepted
3.48,528,accepted
3.47,552,accepted
3.35,520,accepted
3.39,543,accepted
3.28,523,accepted
3.21,530,accepted
3.58,564,accepted
3.33,565,accepted
3.4,431,accepted
3.38,605,accepted
3.26,664,accepted
3.6,609,accepted
3.37,559,accepted
3.8,521,accepted
3.76,646,accepted
3.24,467,accepted
2.54,446,rejected
2.43,425,rejected
2.2,474,rejected
2.36,531,rejected
2.57,542,rejected
2.35,406,rejected
2.51,412,rejected
2.51,458,rejected
2.36,399,rejected
2.36,482,rejected
2.66,420,rejected
2.68,414,rejected
2.48,533,rejected
2.46,509,rejected
2.63,504,rejected
2.44,336,rejected
2.13,408,rejected
2.41,469,rejected
2.55,538,rejected
2.31,505,rejected
2.41,489,rejected
2.19,411,rejected
2.35,321,rejected
2.6,394,rejected
2.55,528,rejected
2.72,399,rejected
2.85,381,rejected
2.9,384,rejected
2.86,494,pending
2.85,496,pending
3.14,419,pending
3.28,371,pending
2.89,447,pending
3.15,313,pending
3.5,402,pending
2.89,485,pending
2.8,444,pending
3.13,416,pending
3.01,471,pending
2.79,490,pending
2.89,431,pending
2.91,446,pending
2.75,546,pending
2.73,467,pending
3.12,463,pending
3.08,440,pending
3.03,419,pending
3,509,pending
3.03,438,pending
3.05,399,pending
2.85,483,pending
3.01,453,pending
3.03,414,pending
3.04,446,pending
