영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
다크아워,2012-01-05,1165058500,142322,미국,,이십세기폭스코리아(주),12세이상관람가,"SF,액션",크리스 고락,"에밀 허쉬,올리비아 썰비",162704,1321149000,3
원더풀 라디오,2012-01-05,3992913500,541314,한국,"(주)영화사아이비젼,(주)기안컬처테인먼트",쇼박스㈜미디어플렉스,15세이상관람가,"드라마,멜로/로맨스",권칠인,"이민정,이정진,이광수,서영",986287,7255598000,3
밀레니엄 : 여자를 증오한 남자들,2012-01-11,2196718000,281785,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,"스릴러,드라마",데이빗 핀처,"다니엘 크레이그,루니 마라",443855,3504237000,1
장화신은 고양이,2012-01-12,7747103000,883384,미국,,씨제이이앤엠 주식회사,전체관람가,"애니메이션,어드벤처,코미디,판타지",크리스 밀러,"안토니오 반데라스,셀마 헤이엑,자크 갈리피아나키스",2080445,17602643500,2
코알라 키드 : 영웅의 탄생,2012-01-12,737016000,104258,한국,"㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,이경호,"태민,써니,윤다훈,최정현",206344,1439227500,2
네버엔딩 스토리,2012-01-18,1575837500,209516,한국,아일랜드픽처스(주),(주)화앤담이엔티,15세이상관람가,"코미디,멜로/로맨스",정용주,"엄태웅,김현정,정려원,유선,박기웅,박성광,이병준,조동희,최상아,최혜진",283449,2106823000,3
댄싱퀸,2012-01-18,9574583500,1239057,한국,"(주)제이케이필름,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,12세이상관람가,"코미디,드라마",이석훈,"황정민,엄정화,정성화,오나라,박정민,박사랑,임호걸,정원영",4058225,30130775500,3
부러진 화살,2012-01-18,7074434500,916902,한국,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정지영,"안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선",3459864,25937273000,3
우리는 동물원을 샀다,2012-01-18,1338645500,183724,미국,,이십세기폭스코리아(주),전체관람가,"가족,코미디",카메론 크로우,"맷 데이먼,스칼렛 요한슨",276334,1993190500,2
페이스메이커,2012-01-18,2507683500,335960,한국,"(주)드림캡쳐,(주)에이트볼픽쳐스 ,(주)필통픽쳐스","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",12세이상관람가,드라마,김달중,"김명민,권지민,안성기,고아라,최재웅,최태준,최윤성",467697,3443753000,3
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,6844753500,786407,미국,,워너브러더스코리아(주),전체관람가,"액션,어드벤처",브레드 페이튼,"드웨인 존슨,마이클 케인,조쉬 허처슨,바네사 허진스",1149628,9784305000,2
점박이:한반도의 공룡3D,2012-01-26,3976670500,432520,한국,"(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오",씨제이이앤엠 주식회사,전체관람가,"애니메이션,어드벤처,액션",한상호,"이형석,신용우,구자형",1050852,9681445500,2
파파,2012-02-01,2256970500,334975,한국,상상필름(주),롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"가족,코미디",한지승,"박용우,고아라,손병호,정명숙,최경선",587291,4000072000,3
범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,11895618000,1540852,한국,"(주)팔레트픽처스,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,청소년관람불가,"범죄,드라마",윤종빈,"최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현",4720050,36540327500,1
해피 피트 2,2012-02-02,1023392000,123635,호주,,워너브러더스코리아(주),전체관람가,"애니메이션,코미디,가족",조지 밀러,"일라이저 우드,핑크,로빈 윌리엄스,엘리자베스 데일리,브래드 피트,맷 데이먼",185744,1463939000,2
